title,price,rating,reviews,product_url,page_number,scraped_at
"Samsung Galaxy M17 5G Mobile (Sapphire Black, 4GB RAM, 128GB Storage) | 50MP OIS Triple Camera | Gorilla Glass Victus | IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Lag-Free Gaming | Without Charger","17,999",3.8 out of 5 stars,,https://www.amazon.in/Samsung-Sapphire-Storage-Upgrades-Lag-Free/dp/B0FN7RN9TH/ref=sr_1_11?dib=eyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE&dib_tag=se&keywords=phones&qid=1785784708&sr=8-11,1,2026-08-04 00:48:44.937222
OnePlus N6 | 4GB+128GB | Fresh Mint | Segment's Biggest 8000mAh Battery | Segment's Fastest 45W Charging | 48-Month Smoothness | Smooth 120Hz Display | 50MP Camera | Military-Grade Durability,"22,999",3.4 out of 5 stars,,https://www.amazon.in/OnePlus-Segments-Charging-Military-Grade-Durability/dp/B0H3LBSGF8/ref=sr_1_12?dib=eyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE&dib_tag=se&keywords=phones&qid=1785784708&sr=8-12,1,2026-08-04 00:48:44.941133
"iQOO Z10 Lite 5G (Titanium Blue 2026, 4GB RAM, 128GB Storage) | Dimensity 6300 5G Processor | 50MP Sony AI Camera | 6000 mAh Battery | IP64 Rated & Military Grade Shock-Resistance*","18,999",4.1 out of 5 stars,,https://www.amazon.in/iQOO-Titanium-Dimensity-Processor-Shock-Resistance/dp/B0H1JD62J1/ref=sr_1_13?dib=eyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE&dib_tag=se&keywords=phones&qid=1785784708&sr=8-13,1,2026-08-04 00:48:44.946158
"Samsung Galaxy M06 5G Mobile (Sage Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6300 | AnTuTu 623K+ | 12 5G Bands | 25W Fast Charging | 4 Gen OS Upgrades | 50MP Camera | Without Charger","13,999",3.5 out of 5 stars,,https://www.amazon.in/Samsung-MediaTek-Dimensity-Charging-Upgrades/dp/B0G822MS12/ref=sr_1_14?dib=eyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE&dib_tag=se&keywords=phones&qid=1785784708&sr=8-14,1,2026-08-04 00:48:44.950764
"Nothing Phone (3), Black (16GB, 512 GB) | Snapdragon 8s Gen 4 | 50MP + 50MP + 50MP Rear Camera | 1.5K+ 120Hz AMOLED Flexible LTPS Display","52,999",4.4 out of 5 stars,,https://www.amazon.in/Nothing-Phone-Black-16GB-512/dp/B0F7RB8NNL/ref=sr_1_15?dib=eyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE&dib_tag=se&keywords=phones&qid=1785784708&sr=8-15,1,2026-08-04 00:48:44.954408
"Motorola G57 Power 5G (Fluidity, 8GB RAM, 128GB Storage)| Snapdragon 6s Gen 4 Processor | 6.72"" FHD+ Display | 50MP LYT-600 + 8MP Ultrawide | 8MP Selfie Camera | 7000mAh Battery, 33W TurboPower | IP64","20,280",4.2 out of 5 stars,,https://www.amazon.in/Motorola-G57-Snapdragon-Processor-TurboPower/dp/B0G3TFPN94/ref=sr_1_16?dib=eyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE&dib_tag=se&keywords=phones&qid=1785784708&sr=8-16,1,2026-08-04 00:48:44.957473
Peace I17 Pro (Cosmic Orange) 5G 6GB/64GB Smartphone (Orange),"8,499",1.0 out of 5 stars,,https://www.amazon.in/Xifo-Peace-Cosmic-Orange-Smartphone/dp/B0H724TR5V/ref=sr_1_17?dib=eyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE&dib_tag=se&keywords=phones&qid=1785784708&sr=8-17,1,2026-08-04 00:48:44.961637
"Samsung Galaxy M17e 5G Mobile (Vibe Violet, 4GB RAM, 128GB Storage) | Smoothest 120 Hz Refresh Rate| Monster 6000 mAh Battery | IP54 | 6 Gen OS Upgrades | AI | Gemini Live | Without Charger","16,499",3.8 out of 5 stars,,https://www.amazon.in/Samsung-Storage-Smoothest-Refresh-Upgrades/dp/B0GN1P5CSY/ref=sr_1_18?dib=eyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE&dib_tag=se&keywords=phones&qid=1785784708&sr=8-18,1,2026-08-04 00:48:44.966857
"REDMI A7 Pro 5G (Sunset Orange, 4GB RAM, 64GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display","14,499",3.3 out of 5 stars,,https://www.amazon.in/Storage-Segments-Fastest-Processor-Smoothest/dp/B0GS5N7M97/ref=sr_1_19?dib=eyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE&dib_tag=se&keywords=phones&qid=1785784708&sr=8-19,1,2026-08-04 00:48:44.972260
"Samsung Galaxy F07 (Green, 64 GB) (4 GB RAM)","10,699",3.7 out of 5 stars,Get it faster,https://www.amazon.in/SAMSUNG-Galaxy-F07-Green-RAM/dp/B0FT7T3GZF/ref=sr_1_20_mod_primary_new?dib=eyJ2IjoiMSJ9.fi1rJ7okT1hFLsArZgsQCsFP_ZaAvtT7O69_xmYzHxbZOclwEzSip-mW0qKNIuogUXP5vJAQtnHgViOvFaU5PIfTqvRR_c5LO9PKK-H1Roaa9dZ1B66SwGTUavwdYowhDLutM_0z9SQ22Ywk8P4v9c85OES1fJKmKpfWJMYOMqjVE8w_CS4Ta0d5OGCAK3HJ1kFS-y2duCcmkuApYSIWaGGXTMZuDTrZ5G5oiWkf8Hw.NchHXqxD0N0tzP5qJj-toKPTAHHOdbjPGh6usqdlEQE&dib_tag=se&keywords=phones&qid=1785784708&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-20,1,2026-08-04 00:48:44.976518
